@relation TargetMail
@attribute CustomerKey numeric
@attribute GeographyKey numeric
@attribute FirstName string
@attribute MiddleName string
@attribute LastName string
@attribute BirthDate date "yyyy-MM-dd"
@attribute MaritalStatus {M,S}
@attribute Gender {M,F}
@attribute EmailAddress string
@attribute YearlyIncome numeric
@attribute TotalChildren numeric
@attribute NumberChildrenAtHome numeric
@attribute EnglishEducation {Bachelors,"Partial College","High School","Partial High School","Graduate Degree"}
@attribute EnglishOccupation {Professional,"Clerical","Skilled Manual","Management"}
@attribute HouseOwnerFlag numeric
@attribute NumberCarsOwned numeric
@attribute DateFirstPurchase date "yyyy-MM-dd"
@attribute CommuteDistance {"5-10 Miles","2-5 Miles","1-2 Miles","0-1 Miles","10+ Miles"}
@attribute Region {"North America", "Pacific"}
@attribute Age numeric
@attribute BikeBuyer {1,0}
@data
11000,26,"Jon","V","Yang","1966-04-08",M,M,"jon24@adventure-works.com",90000,2,0,"Bachelors","Professional",1,0,"2005-07-22","1-2 Miles","Pacific",46,1
11001,37,"Eugene","L","Huang","1965-05-14",S,M,"eugene10@adventure-works.com",60000,3,3,"Bachelors","Professional",0,1,"2005-07-18","0-1 Miles","Pacific",47,1
11002,31,"Ruben",?,"Torres","1965-08-12",M,M,"ruben35@adventure-works.com",60000,3,3,"Bachelors","Professional",1,1,"2005-07-10","2-5 Miles","Pacific",47,1
11003,11,"Christy",?,"Zhu","1968-02-15",S,F,"christy12@adventure-works.com",70000,0,0,"Bachelors","Professional",0,1,"2005-07-01","5-10 Miles","Pacific",44,1
11004,19,"Elizabeth",?,"Johnson","1968-08-08",S,F,"elizabeth5@adventure-works.com",80000,5,5,"Bachelors","Professional",1,4,"2005-07-26","1-2 Miles","Pacific",44,1
11005,22,"Julio",?,"Ruiz","1965-08-05",S,M,"julio1@adventure-works.com",70000,0,0,"Bachelors","Professional",1,1,"2005-07-02","5-10 Miles","Pacific",47,1
11006,8,"Janet","G","Alvarez","1965-12-06",S,F,"janet9@adventure-works.com",70000,0,0,"Bachelors","Professional",1,1,"2005-07-27","5-10 Miles","Pacific",46,1
11007,40,"Marco",?,"Mehta","1964-05-09",M,M,"marco14@adventure-works.com",60000,3,3,"Bachelors","Professional",1,2,"2005-07-12","0-1 Miles","Pacific",48,1
11008,32,"Rob",?,"Verhoff","1964-07-07",S,F,"rob4@adventure-works.com",60000,4,4,"Bachelors","Professional",1,3,"2005-07-28","10+ Miles","Pacific",48,1
11009,25,"Shannon","C","Carlson","1964-04-01",S,M,"shannon38@adventure-works.com",70000,0,0,"Bachelors","Professional",0,1,"2005-07-30","5-10 Miles","Pacific",48,1
11010,22,"Jacquelyn","C","Suarez","1964-02-06",S,F,"jacquelyn20@adventure-works.com",70000,0,0,"Bachelors","Professional",0,1,"2005-07-17","5-10 Miles","Pacific",48,1
11011,22,"Curtis",?,"Lu","1963-11-04",M,M,"curtis9@adventure-works.com",60000,4,4,"Bachelors","Professional",1,4,"2005-07-02","10+ Miles","Pacific",49,1
11012,611,"Lauren","M","Walker","1968-01-18",M,F,"lauren41@adventure-works.com",100000,2,0,"Bachelors","Management",1,2,"2007-09-17","1-2 Miles","North America",44,0
11013,543,"Ian","M","Jenkins","1968-08-06",M,M,"ian47@adventure-works.com",100000,2,0,"Bachelors","Management",1,3,"2007-10-15","0-1 Miles","North America",44,0
11014,634,"Sydney",?,"Bennett","1968-05-09",S,F,"sydney23@adventure-works.com",100000,3,0,"Bachelors","Management",0,3,"2007-09-24","1-2 Miles","North America",44,0
11015,301,"Chloe",?,"Young","1979-02-27",S,F,"chloe23@adventure-works.com",30000,0,0,"Partial College","Skilled Manual",0,1,"2007-07-22","5-10 Miles","North America",33,1
11016,329,"Wyatt","L","Hill","1979-04-28",M,M,"wyatt32@adventure-works.com",30000,0,0,"Partial College","Skilled Manual",1,1,"2007-08-13","5-10 Miles","North America",33,1
11017,39,"Shannon",?,"Wang","1944-06-26",S,F,"shannon1@adventure-works.com",20000,4,0,"High School","Skilled Manual",1,2,"2005-07-15","5-10 Miles","Pacific",68,1
11018,32,"Clarence","D","Rai","1944-10-09",S,M,"clarence32@adventure-works.com",30000,2,0,"Partial College","Clerical",1,2,"2005-07-20","5-10 Miles","Pacific",68,1
11019,52,"Luke","L","Lal","1978-03-07",S,M,"luke18@adventure-works.com",40000,0,0,"High School","Skilled Manual",0,2,"2007-08-16","5-10 Miles","North America",34,0
11020,53,"Jordan","C","King","1978-09-20",S,M,"jordan73@adventure-works.com",40000,0,0,"High School","Skilled Manual",0,2,"2007-07-02","1-2 Miles","North America",34,1
11021,536,"Destiny",?,"Wilson","1978-09-03",S,F,"destiny7@adventure-works.com",40000,0,0,"Partial College","Skilled Manual",0,1,"2007-07-27","1-2 Miles","North America",34,1
11022,609,"Ethan","G","Zhang","1978-10-12",M,M,"ethan20@adventure-works.com",40000,0,0,"Partial College","Skilled Manual",1,1,"2007-07-24","5-10 Miles","North America",34,1
11023,298,"Seth","M","Edwards","1978-10-11",M,M,"seth46@adventure-works.com",40000,0,0,"Partial College","Skilled Manual",1,1,"2007-08-21","1-2 Miles","North America",34,0
11024,311,"Russell",?,"Xie","1978-09-17",M,M,"russell7@adventure-works.com",60000,0,0,"Partial College","Skilled Manual",1,2,"2007-12-29","5-10 Miles","North America",34,0
11025,24,"Alejandro",?,"Beck","1945-12-23",M,M,"alejandro45@adventure-works.com",10000,2,1,"Partial High School","Clerical",1,2,"2005-07-09","1-2 Miles","Pacific",66,1
11026,4,"Harold",?,"Sai","1946-04-03",S,M,"harold3@adventure-works.com",30000000,10,0,"Partial College","Clerical",0,2,"2005-07-26","1-2 Miles","Pacific",66,1
11027,40,"Jessie","R","Zhao","1946-12-07",M,M,"jessie16@adventure-works.com",30000,2,0,"Partial College","Clerical",1,2,"2005-07-19","5-10 Miles","Pacific",65,1
11028,17,"Jill",?,"Jimenez","1946-04-11",M,F,"jill13@adventure-works.com",30000,2,0,"Partial College","Clerical",1,2,"2005-07-29","1-2 Miles","Pacific",66,1
